word,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
danh_nhân,1,0,0,0,0,0,1,0,1,1
danh_tiếng,1,0,0,1,0,0,1,0,1,1
nghệ_thuật_nhạc_kịch,0,0,0,0,0,0,1,0,1,0
bất_tận,0,0,0,0,0,1,0,1,0,1
bệnh_dịch,0,1,1,1,1,1,0,1,1,0
bỏ_cuộc,0,1,0,1,0,1,0,1,0,0
bùng_nổ,0,0,1,0,0,1,1,1,1,0
cường_điệu,1,0,0,0,1,0,0,0,1,0
dơ,0,1,1,1,1,1,0,1,1,0
giáo_dục,1,0,0,1,0,0,1,0,0,1
lãng_mạng,1,0,0,1,0,1,1,1,1,1
mơ_mộng,1,0,0,1,0,1,1,1,1,1
nghỉ_hưu,0,0,0,1,0,0,1,1,0,1
ngừng_hoạt_động,0,1,1,1,1,1,0,1,1,0
nhơ,0,1,1,1,1,1,0,1,1,0
nuôi_nấng,1,0,1,1,1,1,1,0,0,1
trộm,0,1,0,1,1,1,1,1,1,0
ác_nghiệt,0,1,1,1,1,1,0,1,0,0
bão,0,1,0,0,0,1,0,0,1,0
bất_khuất,1,0,0,1,0,0,1,0,1,1
đối_xử_tàn_tệ,0,1,1,1,1,1,0,1,0,0
buộc,0,0,1,0,0,1,0,1,0,1
cao_nhất,0,0,0,1,0,0,1,0,1,0
cầu_xin,0,0,0,1,0,0,0,0,1,1
chém_giết,0,1,1,0,1,1,0,1,0,0
chênh_lệch,0,0,0,1,0,0,0,0,1,0
có_tiền,1,0,0,0,0,1,1,0,0,1
của_cải,1,0,1,1,0,0,1,0,1,1
cướp_bóc,0,1,1,0,1,1,0,1,1,0
cướp_giật,0,1,1,0,1,1,0,1,1,0
đám_chìm,0,0,0,1,0,1,1,0,1,0
đích_đến,1,0,0,1,0,1,1,1,1,0
diễu_hành,0,0,0,1,0,1,1,0,1,0
đổ_máu,0,1,1,0,1,1,0,1,1,0
dông_tố,0,1,0,1,0,1,0,1,1,0
duyệt_binh,1,1,0,1,0,1,1,0,1,0
ghê_gớm,0,1,1,1,1,1,0,1,0,0
gợi_cảm,1,1,0,1,0,0,1,0,1,1
ham_muốn,1,1,0,1,0,0,1,0,1,1
kết_hôn,1,0,0,1,0,1,1,0,1,1
khẩn_cầu,1,0,0,1,0,1,1,0,1,1
không_chính_đáng,0,1,1,0,1,1,0,1,1,0
không_hợp_pháp,0,1,1,0,1,1,0,1,1,0
không_kiềm_chế,1,1,1,1,0,1,0,0,1,0
lãng_trí,0,1,1,1,1,1,0,1,0,0
lấy_chồng,1,0,0,1,0,1,1,0,1,1
lấy_vợ,1,0,0,1,0,1,1,0,1,1
lớn_nhất,1,1,0,1,0,1,1,0,1,0
mải_mê,1,0,0,1,0,1,1,0,1,1
nguyện_cầu,1,0,0,1,0,1,1,0,1,1
nhẫn_tâm,0,1,1,1,1,1,0,1,0,0
nhơ_bẩn,0,1,1,1,1,1,0,1,0,0
nhục_dục,1,1,0,1,0,0,1,0,1,1
phô_trương,0,0,0,1,0,0,1,0,1,0
tàn_nhẫn,0,1,1,1,1,1,0,0,0,0
thả_lỏng,0,0,0,1,0,1,0,0,1,0
thắng,1,0,0,0,0,0,1,0,1,0
thanh_xuân,1,0,0,1,0,0,1,0,0,0
thắt,1,1,1,0,0,1,0,1,0,1
tiền_bạc,1,0,1,1,0,0,1,0,1,1
tiền_mặt,1,0,1,1,0,1,1,0,0,1
tốt_nghiệp,1,0,0,1,0,1,1,0,1,1
tra_khảo,0,1,1,1,1,1,0,1,0,0
tra_tấn,0,1,1,1,1,1,0,1,0,0
trốn_tránh,0,1,1,0,1,1,0,1,0,1
tuổi_trẻ,1,0,1,1,0,1,1,0,1,0
vô_địch,1,0,0,0,0,0,1,0,1,0
