word,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
nổi_tiếng,1,0,0,1,0,0,1,0,0,0
lạm_dụng,0,1,0,0,0,1,0,0,0,0
ngược_đãi,0,1,1,0,0,1,0,0,0,0
kích_thích,1,0,0,1,0,0,0,0,0,0
biến_dạng,0,1,0,0,1,1,0,0,0,0
tàn_phá,0,1,1,0,0,1,0,0,0,0
bỏ_rơi,0,1,0,0,0,1,0,1,0,0
giấu_giếm,0,1,0,0,0,1,0,0,0,0
hạn_chế,0,1,0,0,0,0,0,0,0,0
nhọt,0,1,0,0,0,0,0,0,0,0
ruồng_bỏ,0,1,0,0,1,1,0,1,0,0
phá_sản,0,1,0,0,0,1,0,0,0,0
run_rẩy,0,1,0,0,0,1,0,0,0,0
tiến_bộ,1,0,0,1,0,0,1,0,0,1
tổn_thương,0,1,1,0,0,1,0,0,0,0
trật_khớp,0,1,0,0,0,1,0,0,0,0
vỡ_nợ,0,1,0,0,0,1,0,0,0,0
bẩn,0,1,0,0,1,0,0,0,0,0
công_kích,0,1,1,0,0,0,0,0,0,0
huỷ_hoại,0,1,1,0,0,0,0,0,0,0
lạc,0,1,0,0,0,1,0,1,0,0
loại,0,1,0,0,0,0,0,0,0,0
tấn_công,0,1,1,0,0,0,0,0,0,0
thương_tổn,0,1,0,0,0,0,0,1,0,0
truy_nã,0,1,1,0,0,1,0,0,0,0
chấn_thương,0,1,0,0,0,1,0,0,0,0
dã_man,0,1,1,0,1,1,0,0,0,0
lầm_lạc,0,1,0,0,0,0,0,1,0,0
mất_trí,0,1,1,0,1,0,0,0,0,0
rực_rỡ,1,0,0,1,0,0,1,0,0,0
ám_sát,0,1,1,0,0,0,0,0,1,0
đau_đớn,0,1,1,0,0,0,0,1,0,0
thanh_toán,0,0,0,0,0,0,0,0,0,0
thông_minh,1,0,0,0,0,0,0,0,0,1
tiêu_diệt,0,1,1,0,1,0,0,0,0,0
tước_đoạt,0,1,1,0,0,0,0,0,0,0
bong,0,1,0,0,0,1,0,0,0,0
chua,0,0,0,0,0,0,0,0,0,0
làm_phiền,0,0,0,0,0,0,0,0,0,0
lên_men,0,0,0,0,0,0,0,0,0,0
ôi,0,0,0,0,0,0,0,0,0,0
rời,0,0,0,0,0,0,0,0,0,0
rời_ra,0,0,0,0,0,0,0,0,0,0
sung_công,0,0,0,1,0,0,0,0,1,0
thất_tình,0,1,0,0,0,0,0,1,0,0
thiu,0,1,0,0,1,0,0,0,0,0
tịch_thu,0,0,0,0,0,0,0,0,0,0
trật,0,0,0,0,0,0,0,0,0,0
cận_thị,0,0,0,0,0,0,0,0,0,0
đảo_lộn,0,1,0,0,0,0,0,0,1,0
hăng_hái,1,0,0,1,0,0,1,0,0,1
hòa_hợp,1,0,0,0,0,0,1,0,0,0
hỏng,0,1,0,0,0,0,0,0,0,0
giàu_có,1,0,0,1,0,0,0,0,0,0
thật,0,0,0,0,0,0,0,0,0,0
tình_nghi,0,1,0,0,0,0,0,0,0,0
